cave,country,countryCode,county,id,latitude,locations,longitude,name,names,region,riggings,massifs,massif
Clark Cave #1,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90398,37.72539125,,-92.39102047,Clark Cave #1,Clark Cave #1,Missouri,,,
Clark Cave #2,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90399,37.80157982,,-92.38647455,Clark Cave #2,Clark Cave #2,Missouri,,,
County Farm Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90400,37.80763005,,-92.17957828,County Farm Cave,County Farm Cave,Missouri,,,
Cox Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90401,37.83883234,,-92.24642,Cox Cave,Cox Cave,Missouri,,,
Crane Island Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90402,37.87056,,-92.1325,Crane Island Cave,Crane Island Cave,Missouri,,,
Crimson Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90403,37.68083,,-92.24778,Crimson Cave,Crimson Cave,Missouri,,,
Davis Caves,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90404,37.66389,,-92.22361,Davis Caves,Davis Caves,Missouri,,,
Dead Man Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90405,37.6216369,,-92.19687486,Dead Man Cave,Dead Man Cave,Missouri,,,
Decker Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90406,37.70139,,-92.31583,Decker Cave,Decker Cave,Missouri,,,
Double Cave,"United States, United States, Estados Unidos, Etats-Unis, Vereinigte Staaten von Amerika, Съединените Американски Щати (САЩ), Stati Uniti d'America, Estats Units d'Amèrica, Verenigde Staten van Amerika, United States",USA,Pulaski County,90407,37.88,,-92.20528,Double Cave,Double Cave,Missouri,,,
